Blog	four	looking	second	available	here	music	until	example	want	feature	how	series	re	wasn	service	needed	project	person	saying	best	never	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	full	inside	time	minute	team	along	love	working	following	most	such	data	so	years	course	didn	internet	million	quite	wrong	open	city	future	san	turned	note	take	ways	going	where	many	wants	bernardino	photos	former	single	technology	being	around	traffic	world	power	industry	favorite	image	her	am	having	original	tv	th	case	large	small	past	hours	social	via	company	learn	sense	huge	its	always	found	really	research	also	play	sometimes	set	see	last	whole	community	recent	amp	couple	d	continue	anything	into	line	posted	up	us	ago	results	send	try	video	let	great	makes	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	bring	should	hope	stuff	email	ve	site	less	web	five	become	does	chance	worth	above	told	thursday	word	work	interview	after	order	office	production	then	them	network	another	do	away	terms	com	launched	photo	thanks	night	security	post	months	way	war	update	together	global	gun	guy	change	usually	live	car	december	heard	means	write	product	use	still	non	half	now	year	space	shows	care	couldn	size	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	learned	family	ask	takes	taken	history	help	soon	actually	ceo	android	beyond	event	issue	reason	put	american	behind	off	mobile	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	look	while	used	user	game	some	step	visit	within	similar	e	go	facebook	click	camera	started	meet	control	links	software	including	front	keep	grow	exactly	need	able	she	problem	computer	state	key	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	met	call	tell	room	give	answer	president	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	hit	said	were	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	dead	track	popular	super	down	pages	daily	finally	did	run	wait	making	may	man	maybe	talk	nbsp	group	interesting	rock	language	thing	think	first	long	little	anyone	paid	especially	shot	show	black	get	morning	enough	reading	across	according	mark	doesn	those	pay	same	running	money	either	trying	videos	general	again	students	important	u	public	search	two	share	needs	different	coming	through	someone	everyone	house	energy	hard	idea	done	least	part	believe	b	build	tool	services	fine	find	please	point	simple	simply	create	understand	bill	fun	itself	yesterday	spent	source	big	bit	google	often	back	entire	giving	others	later	themselves	watch	ll	day	text	taking	holiday	value	almost	center	thought	add	works	buy	minutes	special	starting	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	amazon	report	however	news	been	several	specific	everything	head	hear	check	no	focus	level	says	goes	iphone	today	thousands	information	happened	name	turn	place	given	any	ideas	sure	multiple	net	written	come	myself	good	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	wouldn	number	feel	story	store	kind	nothing	his	him	wrote	art	recently	attention	due	questions	customers	question	fast	called	nice	users	once	issues	apple	app	few	women	something	six	instead	choose	our	york	their	which	who	why	local	view	walk	perhaps	gets	other	know	because	lead	getting	own	apps	made	whether	book
Publishing 2.0	0	1	2	0	7	0	0	2	1	6	15	0	8	0	1	0	2	0	0	3	0	1	3	0	0	1	5	1	0	6	1	5	1	0	5	0	2	0	1	1	0	0	0	13	0	1	13	2	1	0	4	1	1	1	2	1	21	0	0	0	1	0	3	4	6	0	0	0	0	0	4	2	4	2	2	1	3	0	0	0	6	0	2	2	0	2	0	0	0	0	1	0	3	0	0	0	4	0	1	0	0	1	1	1	2	2	5	0	0	3	0	0	1	2	0	1	0	2	2	6	1	1	2	0	0	1	5	0	2	0	2	0	0	2	5	2	0	2	0	1	0	4	1	1	0	6	11	1	22	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	2	5	2	10	3	1	0	0	0	9	1	4	0	1	1	0	0	1	2	1	0	0	1	1	0	0	1	2	1	0	0	7	1	2	1	2	2	1	3	9	0	1	0	5	2	5	14	2	0	1	0	2	7	0	3	0	2	0	2	0	0	2	0	0	1	2	0	1	0	0	2	0	0	1	3	0	1	1	0	0	0	0	0	0	0	2	0	2	0	1	0	2	2	2	2	5	1	1	0	1	1	1	4	0	0	2	0	2	9	0	0	2	2	1	1	2	0	0	1	0	2	0	2	13	7	0	8	10	0	0	0	8	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	15	2	2	1	3	0	6	5	1	0	0	0	1	0	0	2	3	0	1	10	4	2	2	0	1	0	0	1	1	0	0	2	0	2	1	0	0	1	3	3	0	0	1	0	0	2	0	0	1	2	9	1	0	3	0	0	0	1	0	6	0	3	8	1	1	0	2	2	1	0	0	3	0	2	0	2	0	0	7	1	0	1	4	1	3	0	0	5	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	2	0	1	1	0	0	0	1	0	0	4	1	9	2	2	1	0	1	0	3	0	2	0	3	0	0	5	1	0	0	0	1	0	0	0	0	0	2	0	1	2	0	0	1	4	2	4	1	1	0	3	2	0	3	1	1	2	0	1	0	3	0	57	5	1	1	2	3	0	0	5	3	1	0	1	0	5	0	3	1	1	0	0	0	3	0	1	0	0	0	2	0	1	5	1	3	1	6	11	0	2	0	0	0	0	0	2	0	1	0	2	0	4	0	5	1	4	0	1	0	1	1	1	1	0	4	5	4	0	1	0	0	0	0	4	0	0	0	1	0	7	5	6	12	2	9	3	0	0	1	2	7	2	5	2	0	2	0	0	1	2
mezzoblue	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	5	2	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Eschaton	0	0	0	0	2	0	1	0	0	0	1	0	3	1	0	0	0	0	1	2	0	0	4	4	0	2	2	0	0	2	2	15	1	0	0	1	4	0	0	0	0	1	0	7	2	1	4	1	0	1	0	2	0	0	0	0	0	0	0	0	2	0	4	0	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	1	0	0	3	2	2	0	1	1	0	0	0	0	3	0	2	0	0	1	1	0	0	0	0	1	0	1	1	0	0	2	1	3	0	3	0	0	0	0	0	1	0	0	1	1	2	0	0	0	2	5	0	1	10	5	0	0	0	0	0	0	0	1	0	3	0	0	0	0	5	0	0	0	1	0	0	2	0	0	0	0	3	0	1	1	2	0	0	0	1	0	3	0	4	3	0	0	0	2	1	0	1	0	6	0	0	2	1	1	1	0	0	0	1	0	0	1	0	4	0	6	0	0	0	0	1	0	0	3	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	2	3	0	0	4	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	2	1	0	0	0	0	1	4	0	1	0	1	0	1	0	0	1	0	0	2	1	0	0	0	4	0	0	0	0	10	9	2	1	0	0	3	3	0	0	0	0	1	8	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	2	0	0	0	0	3	5	3	2	0	2	0	0	0	0	1	2	2	1	1	0	2	1	2	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	1	0	0	0	0	2	3	0	0	1	0	0	1	1	0	0	2	1	0	0	0	0	0	0	4	0	0	2	4	0	1	0	0	0	1	1	0	3	0	0	2	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	2	0	0	0	2	0	1	0	0	1	1	1	5	2	0	2	0	0	7	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	7	4	0	0	1	0	0	1	4	4	0	0	2	0	0	0	1
ShoeMoney	1	2	1	0	12	0	3	1	5	0	12	0	3	1	1	0	0	1	0	7	3	3	6	2	2	4	8	2	2	3	0	13	0	1	1	0	8	0	1	1	1	0	0	9	0	0	10	2	1	2	1	1	0	1	2	0	0	0	0	1	2	0	2	1	2	0	0	0	0	0	1	1	1	4	3	0	1	1	0	0	7	2	1	0	0	0	0	2	0	0	3	1	3	1	0	0	8	3	2	5	0	2	0	0	1	5	2	0	0	0	0	3	1	0	1	3	0	1	7	1	6	0	0	0	1	4	5	2	3	1	1	1	1	2	0	3	0	1	0	0	0	5	0	1	2	0	4	0	2	0	3	1	1	2	1	1	0	0	5	1	1	0	2	0	1	9	9	0	9	7	0	1	1	0	1	0	0	4	1	3	0	0	0	0	0	2	1	1	2	0	0	2	0	1	2	2	3	1	0	0	4	1	0	0	0	0	1	4	0	5	0	1	3	0	2	2	3	3	2	1	12	1	4	4	2	2	4	1	0	3	1	1	0	1	0	0	2	0	0	0	0	0	2	0	0	5	0	0	2	2	2	0	0	2	4	0	1	0	0	3	3	0	0	6	0	0	0	0	0	3	2	2	1	5	0	0	1	0	0	1	1	0	0	2	0	0	0	1	0	0	3	1	0	0	10	0	2	0	0	2	1	4	2	4	0	1	2	0	1	1	0	5	2	1	2	1	2	2	2	0	2	4	0	8	2	0	1	0	0	0	2	0	0	0	4	3	9	3	0	0	0	2	0	0	0	0	0	4	2	0	1	0	3	0	3	1	3	0	0	0	0	0	0	0	0	4	3	6	2	1	1	1	0	1	5	0	11	0	1	0	0	0	0	3	2	0	1	2	7	1	0	0	3	0	0	1	0	0	0	0	4	0	1	2	3	1	0	0	0	0	2	2	1	3	0	0	3	0	0	1	6	0	4	0	0	0	0	0	1	0	0	0	0	3	1	0	4	7	0	3	2	0	0	2	5	6	0	0	0	2	0	0	3	0	0	3	0	0	2	0	4	1	0	5	3	0	9	1	0	4	1	0	0	2	2	2	0	0	0	2	2	4	0	0	1	0	6	1	0	0	2	0	0	3	2	0	1	1	3	4	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	5	0	0	11	0	9	7	0	2	0	0	0	0	4	1	1	0	1	1	2	1	1	1	0	6	5	1	0	2	0	1	2	1	3	0	2	0	2	2	0	4	1	3	0	3	0	0	0	3	0	5	2	8	1	2	0	0	0	0	4	6	2	0	1	3	0	2	2	0
Slashdot	3	1	2	2	3	0	1	2	1	0	4	1	2	0	2	0	3	1	0	4	0	0	2	0	0	2	5	2	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	3	15	3	2	0	1	0	0	1	0	4	0	1	0	0	0	2	0	1	1	2	0	0	0	1	0	1	3	0	0	3	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	2	4	2	0	1	10	0	1	0	1	6	0	0	1	3	3	0	0	1	0	0	0	0	0	3	0	1	6	0	1	0	1	0	1	2	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	3	0	0	2	0	2	2	0	0	1	2	0	1	1	1	0	0	1	2	8	0	2	0	1	4	0	1	0	0	0	0	0	0	1	0	4	1	0	4	0	0	0	2	0	0	3	0	0	0	0	1	0	2	5	1	0	0	1	7	1	0	1	0	0	0	4	0	0	5	2	0	0	2	0	0	0	15	0	3	2	1	0	0	1	1	0	1	1	3	0	0	1	3	0	2	2	3	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1	1	0	4	0	0	2	3	2	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	3	2	0	0	0	0	0	0	1	3	0	5	1	4	0	0	0	6	0	0	1	0	4	1	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	5	4	0	0	1	2	0	7	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	2	0	1	0	0	1	1	2	2	0	1	1	1	0	0	0	0	0	0	0	3	0	0	0	1	1	1	0	2	0	0	1	0	1	1	0	2	0	5	0	0	5	0	1	0	1	0	0	5	0	0	0	12	0	0	0	0	0	2	0	1	0	4	1	2	0	0	0	0	0	0	4	0	1	1	0	5	3	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	6	1	0	0	0	0	8	0	1	0	1	1	0	2	0	0	1	1	0	0	0	1	1	7	1	0	0	0	0	1	1	3	1	0	1	0	3	1	1	1	0	1	0	0	4	0	0	0	0	0	2	0	0	3	1	2	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	16	0	0	0	3	0	0	0	1	0	2	0	0	1	1	2	0	3	0	0	7	1	3	1	0	0	1	1	6	0	3	8	2	3	0	1	0	2	0	2	0	1	0	0	1	7	2	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	1	0	0	1	0	0	2	0	2	0	2	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	2	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	2	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Gothamist	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	3	0	1	0	0	3	0	0	0	0	0	1	2	0	0	1	1	0	1	0	3	1	1	0	7	0	2	0	0	1	0	0	1	0	0	2	1	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	3	4	0	0	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	4	1	0	0	0	0	0	0	1	0	3	0	3	0	1	0	0	2	0	1	0	1	0	2	0	1	0	1	0	0	0	2	0	0	2	2	0	0	0	0	0	2	0	0	2	1	0	1	0	0	0	2	0	2	0	0	0	0	1	3	0	4	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	2	1	0	0	0	0	0	0	1	1	0	0	3	5	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	2	0	2	3	0	0	0	0	0	6	0	1	0	2	0	0	0	0	0	1	0	3	1	1	2	0	0	0	0	0	1	4	1	1	0	1	2	1	3	2	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	2	2	1	0	2	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	3	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	2	2	0	0	1	0	0	1	0	4	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	1	3	1	0	1	0	1	2	3	0	1	0	0	2	0	0	2	1	1	0	1	0	0	0	1	5	1	0	0	0	0	2	0	1	0	1	0	0	4	2	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	4	2	6	3	4	0	1	0	0	0	0	2	0	2	0	0	0	0	0	2	1
BuzzMachine	1	0	1	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	4	1	0	0	0	2	1	0	2	0	0	0	0	1	0	3	0	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	1	3	0	0	0	3	1	0	1	0	2	0	0	0	2	2	1	0	0	0	0	1	0	0	2	1	1	0	4	0	0	0	0	3	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	2	3	1	0	0	0	1	1	0	4	3	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	0	0	0	1	0	3	1	0	2	0	0	0	0	3	0	0	3	1	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	1	0	0	1	1	1	3	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	2	3	1	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	1	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	3	1	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	3	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	2	1	1	1	0	0	0	1	0	0	0	2	0	0	0	3	1	0	1	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	2	1	0	0	6	2	3	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
The Huffington Post | The Full Feed	9	4	8	5	14	0	6	7	10	0	16	10	19	2	0	5	6	9	7	7	6	2	12	8	6	11	32	6	2	14	7	50	6	1	9	0	20	3	8	6	4	5	6	24	16	3	28	20	2	10	2	9	5	5	0	10	4	21	3	1	14	3	9	17	17	4	18	7	10	0	1	15	5	0	18	4	5	0	7	28	13	6	3	0	3	8	6	11	8	4	6	2	15	3	8	4	61	6	14	5	3	35	6	4	10	6	15	0	10	11	197	7	9	4	2	24	7	4	40	33	6	1	0	3	3	5	3	5	9	16	6	5	3	7	17	3	1	3	10	1	6	14	5	0	0	10	1	5	2	9	9	13	1	2	2	7	17	4	19	1	31	2	9	4	8	23	1	10	29	6	28	4	2	3	0	9	6	47	3	10	2	0	6	9	23	2	13	3	2	2	11	2	3	4	8	33	11	3	4	16	30	1	5	21	2	1	31	4	3	11	6	5	3	27	6	6	3	2	3	3	20	4	9	5	10	2	11	4	14	2	2	2	2	13	1	4	1	0	4	0	7	2	6	16	1	7	0	2	2	1	8	19	8	6	2	8	3	7	11	10	43	1	4	29	3	3	1	2	2	6	10	1	0	1	1	4	0	0	15	4	5	5	2	18	3	12	6	4	23	3	14	7	5	5	53	2	1	1	3	9	3	21	0	2	2	2	1	2	2	8	6	5	28	3	2	6	6	1	5	1	1	5	4	18	28	4	4	0	1	44	37	11	3	7	28	11	47	17	10	4	2	12	3	0	5	1	1	1	8	0	9	4	7	5	0	6	66	7	6	5	0	16	1	1	1	0	11	15	17	3	4	6	2	1	12	2	8	2	1	1	7	13	4	5	15	14	4	3	11	1	4	1	4	7	3	12	24	8	1	19	6	4	5	5	15	12	1	8	16	3	0	6	7	11	1	3	3	2	5	5	14	1	2	3	5	4	0	23	1	1	3	5	1	5	1	0	4	14	4	2	17	6	3	6	1	17	0	6	5	3	4	18	1	3	13	3	1	2	2	11	6	4	0	42	1	4	11	5	13	26	1	9	3	7	7	4	5	4	8	5	11	9	0	7	5	9	36	10	4	2	2	2	1	42	4	3	10	1	0	4	2	5	1	4	1	9	3	12	1	11	4	1	1	12	1	14	9	6	28	6	3	32	3	6	2	25	0	1	6	5	3	8	1	9	6	8	0	8	1	57	16	8	20	2	1	6	3	0	9	1	7	0	0	1	4	0	2	10	7	9	3	1	2	65	17	50	31	70	7	7	2	5	10	5	29	10	18	3	2	11	0	11	9	1
PerezHilton	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	1	0	2	0	0	2	0	0	0	1	0	2	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	4	0	0	11	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	1	0	1	0	0
